freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.869e+03,2.631e+01,6.292e+01,1.958e+03
1.6,1.709e+03,5.039e+01,9.163e+01,1.851e+03
3.2,8.312e+02,4.872e+01,8.226e+01,9.622e+02
4.8,2.273e+03,4.604e+01,8.776e+01,2.407e+03
6.3,5.219e+03,5.027e+01,1.059e+02,5.376e+03
7.9,8.965e+03,5.091e+01,1.091e+02,9.125e+03
9.5,1.402e+04,6.400e+01,9.826e+01,1.418e+04
11.1,1.764e+04,6.416e+01,9.798e+01,1.780e+04
12.7,1.914e+04,5.281e+01,1.044e+02,1.930e+04
14.3,2.358e+04,4.847e+01,1.023e+02,2.373e+04
15.8,3.127e+04,4.739e+01,1.033e+02,3.142e+04
17.4,3.809e+04,5.536e+01,9.774e+01,3.824e+04
19.0,4.099e+04,9.570e+01,1.064e+02,4.119e+04
20.6,4.809e+04,9.555e+01,1.033e+02,4.829e+04
22.2,6.194e+04,7.795e+01,1.131e+02,6.213e+04
23.8,8.104e+04,9.084e+01,1.119e+02,8.124e+04
25.4,9.411e+04,1.421e+02,1.281e+02,9.438e+04
26.9,1.126e+05,1.740e+02,1.353e+02,1.129e+05
28.5,1.339e+05,2.025e+02,1.405e+02,1.342e+05
30.1,1.546e+05,2.297e+02,1.431e+02,1.549e+05
31.7,1.750e+05,2.447e+02,1.525e+02,1.754e+05
33.3,2.121e+05,2.417e+02,1.573e+02,2.125e+05
34.9,2.384e+05,4.052e+02,1.489e+02,2.389e+05
36.4,2.958e+05,9.146e+02,1.377e+02,2.968e+05
38.0,3.348e+05,1.564e+03,1.409e+02,3.365e+05
39.6,4.030e+05,3.151e+03,1.732e+02,4.063e+05
41.2,4.648e+05,6.763e+03,2.065e+02,4.718e+05
42.8,5.930e+05,1.225e+04,3.124e+02,6.055e+05
44.4,7.953e+05,1.448e+04,6.007e+02,8.104e+05
46.0,8.222e+05,9.875e+03,1.255e+03,8.333e+05
