freq,psd_x,psd_y,psd_z,psd_xyz
178.9,3.147e+04,1.770e+03,2.546e+03,3.579e+04
180.5,3.810e+04,2.090e+03,3.317e+03,4.351e+04
182.1,4.195e+04,2.459e+03,4.153e+03,4.856e+04
183.7,3.898e+04,2.839e+03,4.109e+03,4.593e+04
185.3,3.209e+04,3.094e+03,3.683e+03,3.886e+04
186.8,2.968e+04,3.345e+03,3.841e+03,3.686e+04
188.4,2.630e+04,3.571e+03,3.550e+03,3.343e+04
190.0,2.687e+04,4.217e+03,3.356e+03,3.444e+04
191.6,3.445e+04,3.968e+03,2.801e+03,4.122e+04
193.2,4.908e+04,4.056e+03,3.281e+03,5.641e+04
194.8,6.714e+04,5.222e+03,4.303e+03,7.667e+04
196.3,7.268e+04,5.641e+03,4.707e+03,8.303e+04
197.9,6.445e+04,5.193e+03,4.790e+03,7.443e+04
199.5,5.403e+04,4.735e+03,4.178e+03,6.295e+04
