freq,psd_x,psd_y,psd_z,psd_xyz
183.2,1.041e+04,9.616e+02,8.608e+02,1.223e+04
184.8,1.232e+04,1.101e+03,1.032e+03,1.445e+04
186.3,1.173e+04,1.197e+03,1.067e+03,1.400e+04
187.9,1.094e+04,1.334e+03,1.125e+03,1.340e+04
189.5,1.086e+04,1.327e+03,1.106e+03,1.329e+04
191.1,1.058e+04,1.415e+03,1.045e+03,1.304e+04
192.7,8.626e+03,1.609e+03,8.621e+02,1.110e+04
194.2,7.968e+03,1.821e+03,8.967e+02,1.069e+04
195.8,7.119e+03,1.581e+03,8.208e+02,9.520e+03
197.4,7.849e+03,1.643e+03,9.435e+02,1.043e+04
199.0,8.985e+03,1.700e+03,1.074e+03,1.176e+04
