freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.675e+01,1.147e+03,5.462e+01,1.228e+03
1.6,6.706e+01,7.384e+02,8.267e+01,8.881e+02
3.2,7.928e+01,2.046e+02,7.003e+01,3.539e+02
4.7,7.792e+01,1.219e+03,8.188e+01,1.379e+03
6.3,7.883e+01,3.476e+03,8.085e+01,3.635e+03
7.9,7.812e+01,6.440e+03,8.170e+01,6.600e+03
9.5,8.525e+01,1.115e+04,8.283e+01,1.132e+04
11.1,8.365e+01,1.492e+04,8.300e+01,1.508e+04
12.6,7.819e+01,1.566e+04,8.255e+01,1.582e+04
14.2,9.059e+01,2.165e+04,9.303e+01,2.183e+04
15.8,1.773e+02,3.023e+04,1.026e+02,3.051e+04
17.4,1.166e+03,4.331e+04,1.179e+02,4.460e+04
18.9,3.007e+03,4.800e+04,1.528e+02,5.116e+04
20.5,2.088e+03,4.049e+04,1.625e+02,4.274e+04
22.1,6.328e+02,3.693e+04,1.174e+02,3.768e+04
23.7,2.354e+02,5.190e+04,1.261e+02,5.226e+04
25.3,1.406e+02,8.050e+04,1.878e+02,8.083e+04
26.8,1.112e+02,1.235e+05,2.605e+02,1.238e+05
28.4,1.226e+02,1.699e+05,4.500e+02,1.705e+05
30.0,1.617e+02,2.095e+05,1.006e+03,2.107e+05
31.6,1.700e+02,2.737e+05,1.583e+03,2.754e+05
33.2,1.988e+02,4.422e+05,2.573e+03,4.449e+05
34.7,3.904e+02,9.508e+05,5.839e+03,9.570e+05
36.3,9.293e+02,2.337e+06,1.714e+04,2.356e+06
37.9,1.228e+03,2.948e+06,2.654e+04,2.975e+06
39.5,1.700e+03,2.476e+06,2.778e+04,2.506e+06
41.1,2.166e+03,2.141e+06,2.659e+04,2.170e+06
42.6,2.326e+03,1.609e+06,2.187e+04,1.633e+06
44.2,3.693e+03,1.301e+06,2.070e+04,1.325e+06
45.8,8.388e+03,9.251e+05,1.739e+04,9.509e+05
47.4,1.652e+04,7.583e+05,1.858e+04,7.933e+05
48.9,1.046e+04,6.760e+05,2.219e+04,7.087e+05
50.5,2.726e+03,5.578e+05,2.317e+04,5.837e+05
52.1,6.922e+02,4.595e+05,2.435e+04,4.846e+05
53.7,4.436e+02,4.001e+05,2.655e+04,4.271e+05
55.3,3.282e+02,3.606e+05,3.026e+04,3.912e+05
56.8,2.146e+02,3.174e+05,3.286e+04,3.505e+05
58.4,1.813e+02,2.476e+05,3.051e+04,2.783e+05
60.0,2.810e+02,2.187e+05,3.144e+04,2.504e+05
61.6,6.146e+02,2.065e+05,3.398e+04,2.411e+05
63.2,1.081e+03,1.688e+05,3.165e+04,2.015e+05
64.7,1.502e+03,1.611e+05,3.425e+04,1.969e+05
66.3,1.419e+03,1.499e+05,4.041e+04,1.917e+05
67.9,1.074e+03,1.455e+05,5.469e+04,2.013e+05
69.5,1.245e+03,1.417e+05,7.569e+04,2.186e+05
71.1,1.993e+03,1.442e+05,1.223e+05,2.685e+05
72.6,2.951e+03,1.352e+05,1.891e+05,3.273e+05
74.2,4.843e+03,1.111e+05,2.464e+05,3.623e+05
75.8,5.659e+03,6.055e+04,2.427e+05,3.089e+05
77.4,5.215e+03,3.274e+04,2.083e+05,2.463e+05
78.9,5.396e+03,1.837e+04,1.079e+05,1.316e+05
80.5,6.937e+03,1.977e+04,5.104e+04,7.775e+04
82.1,5.815e+03,2.446e+04,3.206e+04,6.234e+04
83.7,6.001e+03,3.048e+04,2.491e+04,6.138e+04
85.3,8.217e+03,3.906e+04,3.124e+04,7.852e+04
86.8,8.966e+03,4.052e+04,3.452e+04,8.400e+04
88.4,7.792e+03,3.924e+04,3.033e+04,7.736e+04
90.0,8.783e+03,4.659e+04,3.024e+04,8.561e+04
91.6,1.096e+04,4.897e+04,2.568e+04,8.561e+04
93.2,1.298e+04,5.468e+04,2.338e+04,9.104e+04
94.7,1.331e+04,5.733e+04,1.913e+04,8.978e+04
96.3,1.288e+04,5.439e+04,1.393e+04,8.120e+04
97.9,1.242e+04,4.908e+04,9.029e+03,7.053e+04
99.5,1.469e+04,5.016e+04,6.708e+03,7.156e+04
101.1,1.983e+04,5.121e+04,4.801e+03,7.584e+04
102.6,2.974e+04,5.230e+04,3.234e+03,8.528e+04
104.2,3.377e+04,4.560e+04,2.073e+03,8.145e+04
105.8,4.248e+04,4.791e+04,1.689e+03,9.208e+04
107.4,7.143e+04,5.877e+04,1.642e+03,1.318e+05
109.0,1.076e+05,6.039e+04,1.379e+03,1.694e+05
110.5,1.336e+05,5.346e+04,9.739e+02,1.880e+05
112.1,1.608e+05,5.213e+04,1.002e+03,2.139e+05
113.7,1.830e+05,5.464e+04,1.113e+03,2.388e+05
115.3,1.648e+05,4.402e+04,1.355e+03,2.101e+05
116.8,1.393e+05,3.227e+04,1.354e+03,1.729e+05
118.4,1.403e+05,3.009e+04,1.463e+03,1.719e+05
120.0,1.018e+05,2.069e+04,1.212e+03,1.237e+05
121.6,8.012e+04,1.648e+04,1.445e+03,9.804e+04
123.2,6.074e+04,1.329e+04,1.565e+03,7.559e+04
124.7,2.731e+04,6.400e+03,1.317e+03,3.502e+04
126.3,1.965e+04,5.284e+03,1.352e+03,2.629e+04
127.9,1.811e+04,4.868e+03,1.260e+03,2.424e+04
129.5,1.314e+04,4.208e+03,1.042e+03,1.839e+04
131.1,8.409e+03,4.045e+03,1.204e+03,1.366e+04
132.6,4.261e+03,2.762e+03,1.002e+03,8.025e+03
134.2,1.622e+03,9.261e+02,5.280e+02,3.076e+03
135.8,9.275e+02,5.101e+02,5.089e+02,1.947e+03
137.4,8.229e+02,6.642e+02,6.818e+02,2.169e+03
139.0,6.788e+02,7.683e+02,7.379e+02,2.185e+03
140.5,5.143e+02,5.742e+02,4.522e+02,1.541e+03
142.1,3.872e+02,4.711e+02,3.236e+02,1.182e+03
143.7,2.989e+02,4.185e+02,3.095e+02,1.027e+03
145.3,2.819e+02,3.999e+02,2.868e+02,9.686e+02
146.8,3.474e+02,4.113e+02,2.658e+02,1.025e+03
148.4,3.792e+02,3.992e+02,3.057e+02,1.084e+03
150.0,3.840e+02,4.369e+02,3.443e+02,1.165e+03
151.6,4.090e+02,4.040e+02,3.123e+02,1.125e+03
153.2,4.273e+02,3.606e+02,2.900e+02,1.078e+03
154.7,5.937e+02,4.164e+02,3.152e+02,1.325e+03
156.3,7.994e+02,5.339e+02,3.013e+02,1.635e+03
157.9,1.113e+03,5.310e+02,2.876e+02,1.932e+03
159.5,1.450e+03,5.195e+02,3.047e+02,2.274e+03
161.1,1.876e+03,5.499e+02,3.509e+02,2.777e+03
162.6,2.227e+03,5.027e+02,3.252e+02,3.055e+03
164.2,2.414e+03,4.677e+02,2.853e+02,3.167e+03
165.8,2.024e+03,4.076e+02,2.941e+02,2.726e+03
167.4,2.856e+03,4.184e+02,3.028e+02,3.577e+03
169.0,3.806e+03,4.154e+02,3.247e+02,4.546e+03
170.5,3.633e+03,3.864e+02,3.630e+02,4.382e+03
172.1,5.033e+03,4.312e+02,4.036e+02,5.868e+03
173.7,7.458e+03,4.944e+02,5.137e+02,8.466e+03
175.3,8.056e+03,4.852e+02,5.802e+02,9.121e+03
176.8,9.809e+03,4.436e+02,6.028e+02,1.086e+04
178.4,1.502e+04,6.234e+02,8.596e+02,1.650e+04
180.0,1.590e+04,7.074e+02,9.289e+02,1.754e+04
181.6,1.629e+04,8.086e+02,1.118e+03,1.821e+04
183.2,1.894e+04,8.305e+02,1.334e+03,2.111e+04
184.7,2.497e+04,7.217e+02,1.233e+03,2.693e+04
186.3,2.708e+04,7.710e+02,1.113e+03,2.896e+04
187.9,2.489e+04,8.273e+02,9.916e+02,2.671e+04
189.5,2.348e+04,8.697e+02,9.400e+02,2.529e+04
191.1,2.451e+04,1.004e+03,1.071e+03,2.659e+04
192.6,2.732e+04,1.480e+03,1.282e+03,3.008e+04
194.2,3.111e+04,2.120e+03,1.641e+03,3.487e+04
195.8,3.020e+04,2.244e+03,1.923e+03,3.437e+04
197.4,3.271e+04,2.482e+03,2.099e+03,3.730e+04
199.0,4.432e+04,2.951e+03,2.716e+03,4.999e+04
