freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.841e+01,1.592e+03,7.263e+01,1.703e+03
1.6,7.915e+01,9.488e+02,9.992e+01,1.128e+03
3.2,7.791e+01,1.657e+02,7.416e+01,3.178e+02
4.7,7.719e+01,1.679e+03,6.323e+01,1.819e+03
6.3,7.203e+01,4.897e+03,6.113e+01,5.030e+03
7.9,6.745e+01,9.264e+03,6.798e+01,9.400e+03
9.5,8.134e+01,1.526e+04,8.267e+01,1.543e+04
11.1,7.899e+01,1.901e+04,8.673e+01,1.917e+04
12.6,8.899e+01,2.235e+04,9.810e+01,2.253e+04
14.2,1.089e+02,3.183e+04,9.996e+01,3.204e+04
15.8,2.385e+02,4.565e+04,1.122e+02,4.600e+04
17.4,1.658e+03,6.294e+04,1.505e+02,6.475e+04
19.0,4.144e+03,6.585e+04,1.953e+02,7.019e+04
20.5,2.757e+03,5.514e+04,1.810e+02,5.807e+04
22.1,8.287e+02,5.309e+04,1.317e+02,5.405e+04
23.7,2.983e+02,7.711e+04,1.576e+02,7.756e+04
25.3,1.691e+02,1.195e+05,2.527e+02,1.199e+05
26.8,1.410e+02,1.823e+05,3.716e+02,1.828e+05
28.4,1.639e+02,2.447e+05,6.720e+02,2.455e+05
30.0,2.492e+02,3.103e+05,1.529e+03,3.121e+05
31.6,3.182e+02,4.432e+05,2.611e+03,4.461e+05
33.2,3.996e+02,7.521e+05,4.421e+03,7.569e+05
34.7,7.721e+02,2.025e+06,1.321e+04,2.039e+06
36.3,1.473e+03,3.958e+06,3.074e+04,3.990e+06
37.9,1.918e+03,3.899e+06,3.705e+04,3.938e+06
39.5,2.551e+03,3.089e+06,3.644e+04,3.128e+06
41.1,3.050e+03,2.577e+06,3.380e+04,2.614e+06
42.6,3.586e+03,2.032e+06,2.960e+04,2.065e+06
44.2,5.571e+03,1.520e+06,2.595e+04,1.552e+06
45.8,1.253e+04,1.160e+06,2.355e+04,1.196e+06
47.4,1.992e+04,9.570e+05,2.501e+04,1.002e+06
49.0,1.262e+04,9.056e+05,3.090e+04,9.492e+05
50.5,3.490e+03,7.534e+05,3.203e+04,7.889e+05
52.1,1.018e+03,6.025e+05,3.186e+04,6.354e+05
53.7,7.353e+02,5.267e+05,3.499e+04,5.624e+05
55.3,5.149e+02,4.835e+05,4.002e+04,5.240e+05
56.9,2.859e+02,4.141e+05,4.223e+04,4.566e+05
58.4,2.231e+02,3.584e+05,4.372e+04,4.023e+05
60.0,3.371e+02,3.050e+05,4.422e+04,3.496e+05
61.6,6.815e+02,2.802e+05,4.877e+04,3.297e+05
63.2,1.120e+03,2.629e+05,5.492e+04,3.190e+05
64.7,1.320e+03,2.357e+05,5.905e+04,2.961e+05
66.3,1.473e+03,2.503e+05,8.075e+04,3.326e+05
67.9,1.528e+03,2.469e+05,1.084e+05,3.568e+05
69.5,1.991e+03,2.216e+05,1.390e+05,3.626e+05
71.1,4.645e+03,2.354e+05,2.236e+05,4.637e+05
72.6,7.449e+03,2.043e+05,2.969e+05,5.086e+05
74.2,7.010e+03,1.650e+05,3.963e+05,5.683e+05
75.8,6.019e+03,1.016e+05,4.318e+05,5.394e+05
77.4,6.701e+03,5.197e+04,3.244e+05,3.831e+05
79.0,6.620e+03,3.057e+04,1.772e+05,2.143e+05
80.5,7.505e+03,3.560e+04,1.020e+05,1.451e+05
82.1,6.690e+03,4.913e+04,7.051e+04,1.263e+05
83.7,8.628e+03,6.484e+04,6.361e+04,1.371e+05
85.3,1.317e+04,7.385e+04,6.718e+04,1.542e+05
86.9,1.713e+04,7.412e+04,6.578e+04,1.570e+05
