freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.117e+02,8.352e+00,6.776e+00,7.269e+02
1.6,5.157e+02,1.938e+01,1.944e+01,5.545e+02
3.2,1.846e+02,1.884e+01,1.960e+01,2.230e+02
4.7,1.146e+03,1.872e+01,2.036e+01,1.185e+03
6.3,3.135e+03,1.996e+01,2.001e+01,3.175e+03
7.9,5.909e+03,2.006e+01,2.098e+01,5.950e+03
9.5,7.495e+03,2.148e+01,2.319e+01,7.539e+03
11.1,9.077e+03,2.210e+01,2.331e+01,9.123e+03
12.6,1.269e+04,2.663e+01,2.249e+01,1.274e+04
14.2,1.696e+04,2.671e+01,2.423e+01,1.701e+04
15.8,2.237e+04,2.599e+01,2.550e+01,2.242e+04
17.4,2.896e+04,5.566e+01,2.560e+01,2.905e+04
19.0,3.302e+04,1.272e+02,2.408e+01,3.318e+04
20.6,3.381e+04,1.599e+02,2.401e+01,3.400e+04
22.1,4.217e+04,2.700e+02,2.217e+01,4.246e+04
23.7,5.274e+04,2.105e+02,2.274e+01,5.297e+04
25.3,6.261e+04,1.255e+02,2.425e+01,6.276e+04
26.9,7.105e+04,1.218e+02,2.659e+01,7.120e+04
28.5,8.051e+04,2.013e+02,2.931e+01,8.075e+04
30.0,9.472e+04,2.095e+02,3.419e+01,9.496e+04
31.6,1.066e+05,1.578e+02,4.493e+01,1.068e+05
33.2,1.201e+05,2.002e+02,5.081e+01,1.204e+05
34.8,1.370e+05,2.435e+02,5.563e+01,1.372e+05
36.4,1.555e+05,2.833e+02,5.438e+01,1.558e+05
37.9,1.708e+05,2.954e+02,5.080e+01,1.711e+05
39.5,2.142e+05,3.440e+02,4.730e+01,2.146e+05
41.1,2.501e+05,4.467e+02,6.256e+01,2.506e+05
42.7,2.974e+05,5.117e+02,1.155e+02,2.981e+05
44.3,3.876e+05,9.109e+02,2.179e+02,3.887e+05
45.8,4.642e+05,5.190e+03,5.345e+02,4.699e+05
47.4,3.267e+05,1.294e+04,7.423e+02,3.404e+05
49.0,2.151e+05,9.986e+03,5.008e+02,2.256e+05
50.6,2.501e+05,5.473e+03,6.096e+02,2.562e+05
52.2,3.447e+05,5.069e+03,1.101e+03,3.509e+05
53.8,4.460e+05,5.109e+03,1.481e+03,4.526e+05
55.3,5.843e+05,4.279e+03,1.470e+03,5.900e+05
56.9,8.055e+05,3.213e+03,1.398e+03,8.101e+05
58.5,9.898e+05,2.476e+03,1.446e+03,9.937e+05
60.1,1.211e+06,1.758e+03,1.994e+03,1.215e+06
61.7,1.438e+06,1.601e+03,3.371e+03,1.443e+06
63.2,1.370e+06,1.755e+03,3.804e+03,1.376e+06
64.8,1.184e+06,2.232e+03,3.148e+03,1.189e+06
66.4,1.055e+06,2.243e+03,2.145e+03,1.060e+06
68.0,9.627e+05,1.750e+03,3.010e+03,9.675e+05
69.6,9.148e+05,1.897e+03,7.344e+03,9.241e+05
71.1,1.009e+06,2.692e+03,1.508e+04,1.027e+06
72.7,9.121e+05,2.268e+03,1.531e+04,9.297e+05
74.3,8.380e+05,1.829e+03,2.173e+04,8.616e+05
75.9,8.469e+05,1.808e+03,3.515e+04,8.839e+05
77.5,9.293e+05,2.380e+03,3.071e+04,9.624e+05
79.1,7.859e+05,3.049e+03,1.522e+04,8.042e+05
80.6,6.779e+05,3.423e+03,4.152e+03,6.854e+05
82.2,6.220e+05,3.380e+03,2.279e+03,6.277e+05
83.8,5.541e+05,3.599e+03,2.017e+03,5.597e+05
85.4,4.488e+05,5.005e+03,1.654e+03,4.554e+05
87.0,4.363e+05,7.464e+03,1.700e+03,4.455e+05
88.5,3.979e+05,8.067e+03,1.419e+03,4.074e+05
90.1,4.656e+05,9.143e+03,1.147e+03,4.759e+05
91.7,4.598e+05,8.088e+03,1.109e+03,4.690e+05
93.3,4.327e+05,7.198e+03,8.780e+02,4.408e+05
94.9,3.572e+05,5.822e+03,6.540e+02,3.637e+05
96.4,3.442e+05,4.487e+03,5.288e+02,3.492e+05
98.0,3.632e+05,3.362e+03,4.624e+02,3.670e+05
99.6,4.061e+05,2.705e+03,3.931e+02,4.092e+05
101.2,4.530e+05,2.604e+03,4.011e+02,4.560e+05
102.8,4.554e+05,2.815e+03,6.057e+02,4.588e+05
104.3,4.964e+05,3.013e+03,1.010e+03,5.004e+05
105.9,5.302e+05,3.152e+03,1.456e+03,5.348e+05
107.5,5.146e+05,3.481e+03,1.810e+03,5.199e+05
109.1,6.377e+05,4.807e+03,2.798e+03,6.453e+05
110.7,6.528e+05,6.480e+03,3.720e+03,6.630e+05
112.3,6.602e+05,8.136e+03,4.847e+03,6.732e+05
113.8,6.716e+05,9.636e+03,6.216e+03,6.874e+05
115.4,5.910e+05,9.243e+03,6.542e+03,6.068e+05
117.0,5.875e+05,9.635e+03,7.811e+03,6.050e+05
118.6,5.107e+05,8.670e+03,7.664e+03,5.271e+05
120.2,3.942e+05,6.912e+03,6.426e+03,4.076e+05
121.7,2.895e+05,5.389e+03,4.979e+03,2.999e+05
123.3,1.987e+05,3.731e+03,3.356e+03,2.058e+05
124.9,1.322e+05,2.501e+03,2.102e+03,1.368e+05
126.5,9.996e+04,2.496e+03,1.684e+03,1.041e+05
128.1,7.602e+04,2.927e+03,1.443e+03,8.039e+04
129.6,5.553e+04,3.300e+03,1.083e+03,5.991e+04
131.2,3.320e+04,3.327e+03,7.067e+02,3.723e+04
132.8,1.834e+04,2.087e+03,5.145e+02,2.094e+04
134.4,8.925e+03,9.095e+02,3.741e+02,1.021e+04
136.0,6.355e+03,7.194e+02,3.781e+02,7.453e+03
137.5,4.325e+03,6.702e+02,3.694e+02,5.365e+03
139.1,2.486e+03,5.284e+02,2.876e+02,3.302e+03
140.7,2.109e+03,4.476e+02,2.231e+02,2.780e+03
142.3,3.272e+03,4.207e+02,1.894e+02,3.882e+03
143.9,6.268e+03,4.408e+02,2.089e+02,6.917e+03
145.5,1.282e+04,4.692e+02,2.922e+02,1.358e+04
147.0,2.025e+04,4.819e+02,4.209e+02,2.115e+04
148.6,2.432e+04,4.522e+02,5.112e+02,2.528e+04
150.2,2.554e+04,5.020e+02,5.946e+02,2.664e+04
151.8,2.435e+04,6.864e+02,6.944e+02,2.573e+04
153.4,2.340e+04,4.828e+02,6.740e+02,2.455e+04
154.9,2.402e+04,3.925e+02,7.572e+02,2.517e+04
156.5,2.458e+04,4.206e+02,7.657e+02,2.576e+04
158.1,2.532e+04,4.144e+02,7.869e+02,2.652e+04
159.7,2.525e+04,3.585e+02,8.164e+02,2.642e+04
161.3,2.329e+04,4.029e+02,7.603e+02,2.445e+04
162.8,2.391e+04,5.276e+02,8.011e+02,2.524e+04
164.4,2.171e+04,4.641e+02,7.756e+02,2.295e+04
166.0,1.890e+04,3.776e+02,7.235e+02,2.000e+04
167.6,1.854e+04,3.926e+02,7.622e+02,1.969e+04
169.2,1.758e+04,4.370e+02,8.063e+02,1.882e+04
170.7,1.614e+04,4.279e+02,8.229e+02,1.739e+04
172.3,1.590e+04,4.250e+02,8.728e+02,1.720e+04
173.9,1.535e+04,4.556e+02,9.048e+02,1.671e+04
175.5,1.466e+04,4.916e+02,9.135e+02,1.607e+04
177.1,1.522e+04,4.989e+02,9.181e+02,1.663e+04
178.7,1.529e+04,5.703e+02,9.401e+02,1.680e+04
180.2,1.374e+04,5.862e+02,8.563e+02,1.518e+04
181.8,1.234e+04,5.694e+02,8.231e+02,1.373e+04
183.4,1.139e+04,6.030e+02,7.760e+02,1.277e+04
185.0,1.009e+04,6.363e+02,7.222e+02,1.145e+04
186.6,9.328e+03,7.110e+02,7.340e+02,1.077e+04
188.1,8.804e+03,8.335e+02,7.857e+02,1.042e+04
189.7,8.150e+03,9.907e+02,7.904e+02,9.931e+03
191.3,7.944e+03,1.045e+03,8.398e+02,9.829e+03
192.9,7.467e+03,1.019e+03,8.371e+02,9.323e+03
194.5,6.244e+03,9.184e+02,7.198e+02,7.882e+03
196.0,5.393e+03,1.285e+03,6.598e+02,7.338e+03
197.6,3.925e+03,1.255e+03,6.542e+02,5.835e+03
199.2,3.308e+03,1.079e+03,6.433e+02,5.030e+03
